line,sex,unit,age_days,weight_g,weight_lb,daily_gain_g,daily_gain_lb,avg_daily_gain_g,avg_daily_gain_lb,cum_fcr,daily_feed_intake_g,daily_feed_intake_lb,cum_feed_intake_g,cum_feed_intake_lb,source_doc
cobb500,male,metric,28,1904.0,,108.0,,66.5,,,173.0,,2478.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,29,2014.0,,110.0,,68.0,,,178.0,,2656.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,30,2125.0,,111.0,,69.4,,,183.0,,2839.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,31,2237.0,,112.0,,70.8,,,188.0,,3027.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,32,2350.0,,113.0,,72.1,,,192.0,,3219.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,33,2464.0,,114.0,,73.4,,,196.0,,3415.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,34,2579.0,,115.0,,74.6,,,200.0,,3615.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,35,2694.0,,115.0,,75.8,,,204.0,,3819.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,36,2810.0,,116.0,,76.9,,,208.0,,4027.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,37,2926.0,,116.0,,78.0,,,212.0,,4239.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,38,3042.0,,116.0,,79.0,,,215.0,,4454.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,39,3158.0,,116.0,,79.9,,,219.0,,4673.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,40,3274.0,,116.0,,80.8,,,223.0,,4896.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,41,3389.0,,115.0,,81.6,,,226.0,,5122.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,42,3503.0,,114.0,,82.4,,,230.0,,5352.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,43,3617.0,,114.0,,83.1,,,234.0,,5586.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,44,3730.0,,113.0,,83.8,,,237.0,,5823.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,45,3842.0,,112.0,,84.4,,,241.0,,6064.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,46,3952.0,,110.0,,85.0,,,245.0,,6309.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,47,4062.0,,110.0,,85.5,,,248.0,,6557.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,48,4169.0,,107.0,,86.0,,,252.0,,6809.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,49,4275.0,,106.0,,86.4,,,255.0,,7064.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,50,4379.0,,104.0,,86.7,,,258.0,,7322.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,51,4481.0,,102.0,,87.0,,,261.0,,7583.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,52,4580.0,,99.0,,87.3,,,263.0,,7846.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,53,4677.0,,97.0,,87.5,,,265.0,,8111.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,54,4772.0,,95.0,,87.6,,,266.0,,8377.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,55,4864.0,,92.0,,87.7,,,266.0,,8643.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,56,4953.0,,89.0,,87.7,,,266.0,,8909.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,0,42.0,,,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,1,54.0,,12.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,2,70.0,,16.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,3,88.0,,18.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,4,110.0,,22.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,5,135.0,,25.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,6,165.0,,30.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,7,199.0,,34.0,,22.4,,,,,176.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,8,236.0,,37.0,,24.3,,,40.0,,216.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,9,276.0,,40.0,,26.0,,,42.0,,258.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,10,320.0,,44.0,,27.8,,,48.0,,306.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,11,369.0,,49.0,,29.7,,,54.0,,360.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,12,421.0,,52.0,,31.6,,,60.0,,420.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,13,478.0,,57.0,,33.5,,,67.0,,487.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,14,537.0,,59.0,,35.4,,,72.0,,559.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,female,metric,15,601.0,,64.0,,37.3,,,80.0,,639.0,,2022-Cobb500-Broiler-Performance.xlsx
